contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Interfaces,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0xb02ae0bd0e1431337fce668d76a6ba4b6ecadd84,6,1,376,372,297,****,320,6,0,1,0,30,1,9,25,0,1,7,30,24,,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:Storage`<br/>→ `NewContract:LotteryTicket`<br/>→ `NewContract:WinnerTicket`,****,****
0x6f28b146804dba2d6f944c03528a8fdbc673df2c,1,****,329,266,198,10,178,1,0,0,0,2,19,0,21,3,0,0,11,3,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0x56609c7dcb32cbedf7c5896cbb29b227bf4ec6a1,1,1,100,97,71,5,57,1,0,1,0,11,1,0,10,0,0,0,6,6,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x31b88320c5f5a45813d4a6f96f1d292c4f4383a2,9,****,947,815,423,323,254,9,0,0,0,5,4,0,41,0,0,0,38,33,,`yes`,`yes` <br/>(1 asm blocks),`yes`,`yes`,****,****,****,****,`yes`<br>→ `NewContract:MiniMeToken`,****,****
0x8b922275de0fd52d5e5cbf4a2f807b2b62026704,5,****,563,526,327,153,181,2,3,0,0,10,1,2,18,2,11,4,15,0,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0x87902f1b5d50d1f71a17bc2ea613d38510e9aa67,5,****,318,217,86,126,125,4,1,0,0,18,5,3,9,0,4,8,2,2,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xd897a2e34a5155e8ba5d4093a7ac883d374ff1d0,2,****,715,615,338,199,186,1,1,0,0,24,2,0,19,0,5,14,21,6,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x49b84450a9a56081ce570920aa578c35e0b2461f,6,****,688,604,309,274,215,6,0,0,0,0,4,0,30,0,0,0,18,13,,`yes`,****,`yes`,`yes`,****,****,****,****,`yes`<br>→ `NewContract:TokenTrader`,****,****
0x99bab102c0a03438bcfd70119f07ee646db26ddf,1,****,48,37,30,1,35,1,0,0,0,5,4,2,0,0,0,0,3,3,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x152df2cb3868bef5c6ed6b9feb0fb091c9e11a96,1,1,86,83,58,6,45,1,0,1,0,8,1,1,7,0,0,0,4,3,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x017a5d8d82afaa22bc29d75013d6ff3656e90851,2,****,303,303,231,39,127,2,0,0,0,0,5,0,16,3,0,0,23,16,,`yes`,****,****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:ScamStampToken`,****,****
0x22d2913a4bf16c8dcf1ee655f9b547ac55368f88,1,****,157,157,131,****,117,1,0,0,0,9,6,0,5,3,1,0,13,1,,`yes`,****,`yes`,`yes`,****,****,`yes`,`yes`,****,****,****
0x2ae9d68295f8b6c3a12ee5279271980830775f30,2,****,470,470,316,49,179,2,0,0,0,6,2,0,17,17,0,4,22,0,,`yes`,****,****,`yes`,****,****,`yes`,****,`yes`<br>→ `NewContract:Leverage`,****,****
0x554712b13067f5a0e067d368cd2a67a2ab7acf78,4,****,452,452,324,81,256,3,1,0,0,20,1,0,31,0,5,4,14,11,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,`yes`,****,****,****,****,****,****
0x978275d7652a35dc8df9ce6b62822aea6a97589d,5,1,195,191,158,****,149,5,0,1,0,22,0,6,18,0,0,4,17,14,,****,****,****,`yes`,****,****,****,****,****,****,****
0x865ee5df064bc1f4a39b95b75e612dd86011d35b,6,1,376,372,297,****,320,6,0,1,0,30,1,9,25,0,1,7,30,24,,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:Storage`<br/>→ `NewContract:LotteryTicket`<br/>→ `NewContract:WinnerTicket`,****,****
0x098af9afa803e2598bda464ea2fa0e144649f3f9,2,****,108,104,52,42,44,2,0,0,0,6,1,0,7,0,0,0,7,7,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xb620cee6b52f96f3c6b253e6eea556aa2d214a99,1,****,135,133,95,8,118,1,0,0,0,16,13,0,1,1,0,0,9,8,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x7a8721a9d64c74da899424c1b52acbf58ddc9782,2,****,81,73,58,****,42,2,0,0,0,3,2,0,4,0,0,0,6,4,,`yes`,****,****,`yes`,`yes`,****,****,****,`yes`<br>→ `NewContract:Log`,****,****
0x757f9a1ca2d3af327111c786ef923e67ab586b03,3,3,309,281,153,130,110,2,1,3,0,14,1,6,17,4,4,4,17,13,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x6b1fb08639acec6ed415bacab6453b523aec7d4b,1,2,141,113,75,28,74,1,0,2,0,12,2,0,9,0,0,0,7,7,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x68624055746f380d3f9feb8e1122e26bff47a263,1,****,49,48,37,****,48,1,0,0,0,6,5,1,1,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x9c0c2c6d734d075a013c822b0cfea8917a3f5e75,7,****,232,221,190,11,144,7,0,0,0,2,3,2,25,0,0,0,17,17,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x9d81adbad5dc8c4d474e080466d4741bec89df62,1,****,47,47,37,****,41,1,0,0,0,6,5,1,1,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x31c9c1e892b916fee242ec35fcb2220abfea3be9,4,****,172,160,119,7,49,4,0,0,0,1,1,1,17,0,0,0,12,8,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x4ec648e7b9683771edb8edeb80ca3fde53695415,5,****,563,526,327,153,181,2,3,0,0,10,1,2,18,2,11,4,15,0,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0xc446b5b0a696b6735bf95888a896253a1a5d25f5,2,****,235,235,130,65,85,1,1,0,0,7,6,0,5,0,4,0,13,13,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x150dbfc384ba5c13c304efd2efee73cc57cc2c16,6,1,376,372,297,****,320,6,0,1,0,30,1,9,25,0,1,7,30,24,,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:Storage`<br/>→ `NewContract:LotteryTicket`<br/>→ `NewContract:WinnerTicket`,****,****
0x308df6e60b7dffc2bdee7fa62d41ef53ac5d4e43,5,****,537,527,305,145,239,4,1,0,0,31,3,2,32,4,4,13,18,2,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x621c1528829b70bfe6df7fa82251ed7271ab8104,12,****,619,563,337,132,270,10,2,0,0,39,1,3,42,0,4,10,17,13,,`yes`,`yes` <br/>(1 asm blocks),`yes`,`yes`,****,****,****,****,****,****,****
0x36649d5c33dff01abe05f769e5f2a1e8de178695,2,****,509,441,245,149,164,1,1,0,0,14,2,0,24,0,4,4,11,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0xe5221f29861508d7556249f19924effe391db237,2,****,188,184,82,89,55,2,0,0,0,0,3,0,6,0,0,0,13,12,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x8d28f9261cca02d5e53aa5f6552dfa2dc14df75a,5,****,155,133,104,5,105,5,0,0,0,27,0,10,22,1,3,0,9,8,,****,****,`yes`,****,****,****,****,****,****,****,****
0xdc8944deaf5da0b81bcd38a87cbad0c0e793116f,7,****,317,208,160,26,286,7,0,0,0,89,2,32,70,6,5,12,14,14,,`yes`,****,`yes`,****,****,****,****,****,****,****,****
0x438301bbb5941f2d6c6db74ee90474cad8692087,5,****,481,455,266,129,201,4,1,0,0,25,3,0,25,3,6,10,14,9,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x63cef38c75d9805a36d92fa291bae781b41861e1,4,****,559,526,413,112,337,4,0,0,0,37,2,0,39,1,3,1,20,19,,`yes`,****,****,`yes`,****,****,`yes`,`yes`,****,****,****
0xafd128d46a857da71a6b9205fc3f4c862cb9db1c,7,****,1482,1438,1129,177,1802,5,2,0,0,28,10,15,195,6,30,4,43,16,,`yes`,`yes` <br/>(15 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0xfdf8de115951517d16fdaedc088d2b67aed5b031,7,****,1380,1336,1052,175,1763,5,2,0,0,29,10,15,193,4,30,5,34,7,,`yes`,`yes` <br/>(15 asm blocks),****,`yes`,`yes`,****,`yes`,****,****,****,****
0xea13bfa584e6d7e4c8409a1178805a367821e2f6,11,****,2109,2053,1551,286,2042,8,3,0,0,25,8,0,237,3,30,5,41,19,,`yes`,`yes` <br/>(32 asm blocks),`yes`,`yes`,****,****,`yes`,****,`yes`<br>→ `NewContract:Question`,****,****
0x24a7de87b3bd7298bbf8966fdf170c558d69ecc4,5,****,481,461,323,87,209,5,0,0,0,9,4,0,37,0,4,0,24,21,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xc7f4ade4874e06a20fab9c5dc4f1dd8b6d85faf2,1,****,39,30,24,****,31,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x0fa7d98ae6fe67f3790dd3338f199a4676a10eb7,5,****,182,171,111,28,111,4,1,0,0,21,6,0,17,0,5,3,2,2,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x17c3b17843a7dd182ba35d21a88a71d6c4af216a,1,****,49,45,37,****,37,1,0,0,0,7,2,0,4,0,0,1,3,0,,`yes`,****,`yes`,`yes`,****,****,`yes`,****,****,****,****
0x5a609ce4b74fea5a4647fba3e3343ca850c5b049,5,****,563,526,327,153,181,2,3,0,0,10,1,2,18,2,11,4,15,0,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0x85e4cd785887cad7c6be93f2f34d5fa683f9bfcd,4,****,546,508,286,124,212,3,1,0,0,29,2,0,18,4,9,12,17,10,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,****,****,****,****,****
0x126ae85a1ebf49dc946224f5268c6bd8338d49ae,1,****,40,39,30,****,25,1,0,0,0,4,1,0,2,0,0,1,6,3,,`yes`,****,`yes`,****,****,****,****,****,****,****,****
0x3b6ce42b61f2403cbc206d08f7f4f4587663b2d4,1,****,17,17,13,****,13,1,0,0,0,1,0,0,1,0,0,0,0,0,,****,****,****,****,****,****,`yes`,****,****,****,****
0xa395480a4a90c7066c8ddb5db83e2718e750641c,1,****,60,47,37,****,28,1,0,0,0,4,2,0,2,0,0,0,2,0,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xa5629861c9c345f50221996ef852fd9665eb1c05,4,****,341,332,148,155,121,4,0,0,0,24,3,0,10,0,0,11,11,8,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x2138ffe292fd0953f7fe2569111246e4de9ff1dc,1,****,135,135,75,37,37,1,0,0,0,4,3,4,7,0,0,0,3,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x600fa06479e92164a1fe2929653d766b12e727c7,1,****,49,48,37,****,48,1,0,0,0,6,5,1,1,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x7a0ec191d8f44f3bc3cbb4d1105ced31c30ff492,1,****,46,45,35,****,27,1,0,0,0,3,1,0,1,0,0,1,7,5,,`yes`,****,`yes`,****,****,****,****,****,****,****,****
0x0a630de26e5b41eaef08741e74da4018a6c2e14c,1,****,63,63,38,23,20,1,0,0,0,0,1,0,1,0,0,0,6,6,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x6cb2b8dc6a508c9a21db9683d1a729715969a6ee,2,****,240,233,136,78,68,2,0,0,0,0,1,0,11,3,0,0,10,7,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0xece701c76bd00d1c3f96410a0c69ea8dfcf5f34e,6,****,1715,1666,1066,456,1342,5,1,0,0,16,8,0,192,3,0,0,42,19,,`yes`,`yes` <br/>(23 asm blocks),`yes`,`yes`,`yes`,****,`yes`,****,****,****,****
0xf3cfb35afdbffea20892488ba7f1574adda81b9d,3,****,596,590,297,192,180,2,1,0,0,20,2,2,19,1,5,12,16,5,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,****,****,****,****,****
0xdcadd661d53c6def90e5ea3cec0a9feb7c0b08ce,2,****,60,60,45,****,13,2,0,0,0,0,0,0,11,0,0,0,3,2,,****,****,`yes`,****,****,****,****,****,****,****,****
0xdfb4524b1c1fe01075fab0bb4e16db991d58a3bd,1,1,90,87,65,3,55,1,0,1,0,11,1,0,10,0,0,0,6,6,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x1199e1c21c89bf9653dc2996fed7168a6b587655,2,****,513,513,218,170,171,1,1,0,0,21,2,0,13,3,4,13,20,8,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x038cf0fe8b400538211b0cdc2dbf4e9a8a36bda4,2,****,45,39,28,9,27,2,0,0,0,0,1,0,2,0,0,0,0,0,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x4a73d9fe078fa67601047f88c3e6c270602e5709,1,****,52,40,32,****,38,1,0,0,0,5,5,1,0,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0xf2b89f45cc4ebbf11a36bdb4a4b24eada8dd30a7,3,****,97,93,43,30,39,3,0,0,0,4,1,0,7,0,0,0,2,2,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0xfacc5b21597487575667dde047fc6e5d58bdae55,10,****,532,521,258,179,195,9,1,0,0,7,1,2,30,0,0,0,28,25,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xb834a20ffe2c3feb10bc2f4d0f43ff532395e117,2,****,119,119,89,****,44,2,0,0,0,0,0,0,13,0,0,0,6,4,,****,****,`yes`,****,****,****,****,****,****,****,****
0xce9ed0b322a1420da4b6990e3047796f57471336,1,****,84,84,71,12,56,1,0,0,0,8,1,0,3,0,0,0,12,0,,`yes`,****,`yes`,`yes`,****,****,`yes`,****,****,****,****
0xd1ce8888b962022365a660b17b4b6dcfa3c7ce7e,4,****,494,486,325,88,249,3,1,0,0,29,5,0,26,0,6,8,20,19,,`yes`,****,`yes`,`yes`,****,****,`yes`,****,`yes`<br>→ `NewContract:Jackpot`,****,****
0xf9dd354be4a35ba3f44f8b51564e9d5110b16357,3,****,230,227,175,****,77,3,0,0,0,0,0,0,25,0,0,0,13,10,,****,****,`yes`,****,****,****,****,****,****,****,****
0x0821f459bfbe966bb93ad220ece6e1bdfcadeab3,2,1,196,189,152,****,108,2,0,1,0,19,4,0,17,0,0,1,14,13,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x7a4349a749e59a5736efb7826ee3496a2dfd5489,1,****,39,30,24,****,31,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xffcf7f75602157e36fbe09047e7fafaf69e530e8,2,****,331,331,216,20,154,1,1,0,0,21,3,4,20,3,5,4,14,9,,`yes`,****,`yes`,`yes`,`yes`,****,`yes`,`yes`,****,****,****
0x7bc51b19abe2cfb15d58f845dad027feab01bfa0,2,****,116,115,91,4,69,2,0,0,0,13,3,0,9,0,0,0,5,4,,`yes`,****,`yes`,`yes`,`yes`,****,****,****,****,****,****
0x203feca1b8ded7e170188adba844f3b58ac25b63,10,****,578,559,355,101,363,9,1,0,0,47,5,1,44,0,4,0,35,33,,`yes`,****,****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:MilkCoinToken`,****,****
0xc80defd365fbac2dffeddfcb091b99afea6f8408,2,****,34,31,31,****,37,2,0,0,0,4,0,0,6,0,0,0,1,0,,****,****,****,`yes`,`yes`,****,****,****,****,****,****
0x6324d9d0a23f5ddba165bf8cc61da455350895f2,1,****,72,72,55,2,34,1,0,0,0,0,2,0,7,0,0,0,5,0,,`yes`,****,`yes`,`yes`,`yes`,****,`yes`,****,****,****,****
0x4ab2e8b268ae0d5daca0bfe8dccfe674c07c7b9d,1,****,49,48,37,****,48,1,0,0,0,6,5,1,1,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x6c1bcb34142bffd35f57db626e0ac427af616a4d,2,****,123,119,100,10,61,2,0,0,0,0,1,0,7,0,0,0,12,11,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x4a1455fae5da12cd75b3f34b323bf7836c1862be,4,****,1523,1483,1269,106,1530,4,0,0,0,0,9,0,216,0,0,0,39,14,,`yes`,`yes` <br/>(6 asm blocks),`yes`,`yes`,****,****,`yes`,****,****,****,****
0x241c248b0db328e25921a91d04f43c985dedbd07,3,1,165,160,120,22,102,3,0,1,0,17,4,0,17,0,0,0,10,9,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x4fdb91dbce6cee2e08cf85d26eaa3e9bca0c12fe,8,****,489,406,303,20,404,7,1,0,0,85,9,47,43,2,4,42,16,16,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x927764bb17ce8b9f8c3a930ca4472d611ee93173,2,****,513,445,248,150,165,1,1,0,0,14,2,0,24,0,4,4,11,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0xa0174f796d3b901adaa16cfbb589330462be0329,2,****,116,115,91,4,69,2,0,0,0,13,3,0,9,0,0,0,5,4,,`yes`,****,`yes`,`yes`,`yes`,****,****,****,****,****,****
0x75e13520fc29d0bcdd21da14ed693563091ff0fc,1,****,374,374,271,64,126,1,0,0,0,0,5,0,15,0,0,0,21,20,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xe158db4981bc51387c9b5b16f44244f1010ab325,6,****,1508,1464,1146,176,1848,4,2,0,0,28,9,19,195,9,32,2,39,13,,`yes`,`yes` <br/>(15 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0x3268ecb4fcba1ca9f43da8ed05ffc80382cef1da,2,****,68,68,52,2,39,2,0,0,0,0,3,0,7,0,0,0,4,0,,`yes`,****,`yes`,`yes`,`yes`,****,`yes`,****,****,****,****
0x07678e4c603a26e92962b6e547df99929b708baa,5,****,487,467,327,87,212,5,0,0,0,9,4,0,37,0,4,0,25,18,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xb746aed479f18287dc8fc202fe06f25f1a0a60ae,4,****,348,317,201,52,192,4,0,0,0,25,2,0,22,0,0,0,9,9,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0x257586004f6828a01ba4a874d3cfd0757029f32a,2,****,808,808,499,393,298,2,0,0,0,30,2,0,21,1,1,0,17,2,`ABIEncoderV2`,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,`yes`,****,****,****
0x5689774160fb27235337d328b45664e0d33f05c1,5,****,161,150,113,8,59,5,0,0,0,0,1,0,26,0,0,0,8,6,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xfea71f436ec963507c26f424d93168e4285cd822,2,****,81,81,50,18,28,1,1,0,0,2,1,0,5,0,4,0,1,1,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x08bc84c6beb7d3ce724273e485d85a6b1e6166a6,1,****,47,47,37,****,41,1,0,0,0,6,5,1,1,0,0,0,3,1,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0xc58492b3b14f658adff566c988029308505f81b5,1,****,43,43,35,****,15,1,0,0,0,0,1,0,3,2,0,0,5,5,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xe9a3217b3e9c7384dd62c0159ab05ea00ab4093a,8,1,1415,1222,775,318,636,7,1,1,0,73,8,0,67,0,8,5,40,40,,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,`yes`,****,****,****,****,****,****
0x73f2fd0df4bf82a1137c03e0d4656e5c35b03177,1,****,14,14,11,****,15,1,0,0,0,2,2,0,0,0,0,0,1,0,,`yes`,****,`yes`,****,****,****,****,****,****,****,****
0xfa35645dd7d666f7f8743db98245518cdf348667,3,****,416,404,236,92,134,2,1,0,0,10,4,0,9,3,5,5,20,12,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,****,****,****,****,****
0x1d5854e7f4dd81d9d4c09097d3cc736c7771f234,1,****,49,45,37,****,37,1,0,0,0,7,2,0,4,0,0,1,3,0,,`yes`,****,`yes`,`yes`,****,****,`yes`,****,****,****,****
0x988b3a538b618c7a603e1c11ab82cd16dbe28069,10,1,2080,1888,977,869,822,9,1,1,0,80,9,27,62,2,3,21,37,33,,`yes`,`yes` <br/>(4 asm blocks),****,`yes`,`yes`,****,`yes`,****,`yes`<br>→ `NewContract:MiniMeToken`,****,****
0x198cf24375eccdf599c624d10f0c6fb9b75ec215,8,****,566,549,380,76,281,7,1,0,0,50,1,0,37,3,5,18,27,17,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,`yes`,****,`yes`,****,****,****,****
0xdd4950f977ee28d2c132f1353d1595035db444ee,1,1,167,144,54,77,59,1,0,1,0,10,3,6,6,0,0,1,4,1,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x0528c39ef9f1fd7a05ef18f64408108fae156ab1,7,****,327,327,233,53,127,7,0,0,0,0,1,0,33,1,0,0,16,14,,`yes`,****,****,`yes`,`yes`,****,`yes`,`yes`,****,****,****
0xec987914ade432ce9806f418787a4ed0b0e77000,2,****,489,456,247,129,173,2,0,0,0,16,2,0,29,0,0,0,39,20,,`yes`,****,`yes`,`yes`,`yes`,****,`yes`,`yes`,****,****,****
0x6057c0ee0ff3a6c58a84716b12c5647a95e267a7,8,****,518,518,417,10,298,3,5,0,0,24,2,0,45,2,17,16,19,7,`ABIEncoderV2`,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:InvestorsStorage`,****,****
0xa093e7943b942eb82f0a24ee3022aaf8217fe527,2,****,310,310,231,48,221,2,0,0,0,19,2,0,19,2,0,4,15,11,,`yes`,`yes` <br/>(2 asm blocks),`yes`,`yes`,****,****,`yes`,****,****,****,****
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,1,****,34,25,20,****,29,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x7be25071cc1dd10d8b0fff2390c015354425eea0,2,1,570,566,435,56,257,1,1,1,0,27,4,0,24,0,5,14,27,8,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xbdb686ac471b374bdc844615c768c2595c2ff2fe,3,****,399,399,215,111,136,2,1,0,0,17,1,0,31,0,1,6,11,9,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x4abc1ebf49ab9d98c83609f6475e6ec75ffe409b,3,****,327,327,228,62,165,2,1,0,0,13,1,0,21,0,5,3,12,9,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,`yes`,****,****,****,****,****,****
0xa9fa841e2b56be2d8b645819b46fedfd9e331206,3,****,308,308,193,59,172,2,1,0,0,15,2,11,18,1,6,6,7,0,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,****,****,`yes`<br>→ `NewContract:InvestorsStorage`,****,****
