contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8,2,0,87,87,46,24,23,2,0,0,1,0,0,5,0,0,0,8,8,,No,No,No,Yes,Yes,No,No,No,No,No,No
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,2,0,97,83,66,0,43,2,0,0,7,3,0,4,0,0,0,6,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xec329ffc97d75fe03428ae155fc7793431487f63,3,0,125,121,71,25,40,3,0,0,0,0,0,8,0,0,0,6,5,,No,Yes,No,Yes,Yes,No,No,No,No,No,No
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,2,0,70,61,47,0,33,2,0,0,4,3,0,2,0,0,0,5,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xb801f35f99b437bcef8789db26d1695c26c7b14b,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0x8c7777c45481dba411450c228cb692ac3d550344,2,0,71,61,47,0,35,2,0,0,5,3,0,2,0,0,0,5,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,1,0,39,30,24,0,31,1,0,0,4,4,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xdb1c55f6926e7d847ddf8678905ad871a68199d2,1,0,34,25,20,0,31,1,0,0,4,4,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xb37f18af15bafb869a065b61fc83cfc44ed9cc27,1,0,28,28,21,0,23,1,0,0,4,1,0,3,0,0,0,2,2,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xe894d54dca59cb53fe9cbc5155093605c7068220,1,0,14,14,12,0,12,1,0,0,1,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x7541b76cb60f4c60af330c208b0623b7f54bf615,2,0,78,70,57,0,36,2,0,0,5,3,0,2,0,0,0,5,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,1,0,28,28,21,0,23,1,0,0,4,1,0,3,0,0,0,2,2,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x663e4229142a27f00bafb5d087e1e730648314c3,18,0,2461,2178,1038,811,957,18,0,0,86,9,66,98,4,2,38,51,40,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No
0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4,1,0,24,24,19,0,31,1,0,0,4,4,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,2,0,89,75,59,0,46,2,0,0,7,3,0,4,0,0,0,6,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xa46edd6a9a93feec36576ee5048146870ea2c3ae,1,0,13,13,11,0,12,1,0,0,1,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10,5,1,498,474,318,84,164,5,0,0,18,2,10,45,0,0,0,33,25,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xa11e4ed59dc94e69612f3111942626ed513cb172,1,0,51,51,20,15,14,1,0,0,0,1,0,1,0,0,0,4,2,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0x2972d548497286d18e92b5fa1f8f9139e5653fd2,1,0,11,11,11,0,12,1,0,0,1,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0xa1fceeff3acc57d257b917e30c4df661401d6431,1,0,30,27,21,0,21,1,0,0,2,0,0,2,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6,3,0,130,128,86,12,93,2,1,0,10,5,0,8,0,4,0,8,5,,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
0xf29ebe930a539a60279ace72c707cba851a57707,1,0,15,15,11,0,16,1,0,0,2,2,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x9d06cbafa865037a01d322d3f4222fa3e04e5488,1,0,83,83,44,20,27,1,0,0,0,2,0,3,0,0,0,5,5,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,1,0,34,25,20,0,31,1,0,0,4,4,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x7d09edb07d23acb532a82be3da5c17d9d85806b4,2,0,291,237,142,58,97,2,0,0,15,3,0,13,0,0,5,9,0,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0xf2570186500a46986f3139f65afedc2afe4f445d,1,0,14,14,10,2,10,1,0,0,0,0,0,1,0,0,0,1,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x4051334adc52057aca763453820cb0e045076ef3,1,0,13,13,11,0,12,1,0,0,1,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x806a6bd219f162442d992bdc4ee6eba1f2c5a707,1,0,39,30,24,0,31,1,0,0,4,4,0,0,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x741f1923974464efd0aa70e77800ba5d9ed18902,1,0,98,98,61,37,40,1,0,0,0,2,0,5,0,0,0,5,0,,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
0x8bb1bfdb49b4d75b2fa1291e2a897d66cc6717b3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0xe09b1ab8111c2729a76f16de96bc86a7af837928,2,0,370,325,222,53,162,2,0,0,18,3,13,20,2,0,0,18,7,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,3,0,93,74,62,1,50,3,0,0,6,3,0,5,0,0,0,5,2,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0x58058b28e7a9c49253146b1bec94cc6e733e3ca4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0x94602b0e2512ddad62a935763bf1277c973b2758,1,0,57,57,37,8,31,1,0,0,4,2,0,4,0,0,0,5,4,,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
0x941d225236464a25eb18076df7da6a91d0f95e9e,2,0,73,63,49,0,36,2,0,0,5,3,0,2,0,0,0,6,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xbaa3de6504690efb064420d89e871c27065cdd52,2,0,35,35,29,0,41,2,0,0,6,4,0,2,0,0,0,3,2,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,3,0,96,77,64,1,51,3,0,0,7,3,0,5,0,0,0,5,2,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,3,0,96,77,64,1,51,3,0,0,7,3,0,5,0,0,0,5,2,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0x4c0d948d293d3a57391ccb42a2ff9744998aa215,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0xcc88937f325d1c6b97da0afdbb4ca542efa70870,1,0,161,160,121,14,78,1,0,0,7,2,0,6,1,0,0,11,7,,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,1,0,16,16,14,0,15,1,0,0,1,0,0,1,0,0,0,2,2,,No,No,No,No,No,No,Yes,No,No,No,No
0x958a8f594101d2c0485a52319f29b2647f2ebc06,2,0,141,134,86,25,47,2,0,0,2,1,0,8,0,0,0,9,9,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
