contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x32bacc8b241fb172fee18bda32527126c6f3c5f7,4,0,388,379,229,98,163,4,0,0,12,1,12,26,2,0,0,11,5,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
0x87b0de512502f3e86fd22654b72a640c8e0f59cc,2,0,62,62,35,19,27,2,0,0,0,2,0,4,0,0,0,4,3,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x9e611784170b297091de56eb50162548d9b54d87,2,0,62,62,42,11,31,2,0,0,0,2,0,4,0,0,0,3,3,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x2dc0170450e66af2d3f5c56aa0b20ec4a254902e,4,0,198,183,137,57,65,4,0,0,0,1,0,20,0,0,0,13,13,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x9ae98746eb8a0aeee5ff2b6b15875313a986f103,4,0,98,97,72,3,44,4,0,0,0,1,0,8,0,0,0,5,3,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0x52070b253406fc4f2bf71dbaf910f66c45828dba,1,0,96,87,63,10,20,1,0,0,4,0,4,1,1,0,0,2,0,,No,No,No,No,No,No,No,No,No,No,No
0x2a106e06cd26fad93f732daa4218fce4eac6d6d8,2,0,76,71,53,23,31,2,0,0,0,0,0,6,0,0,0,8,7,,No,No,No,No,No,No,Yes,No,No,No,No
0xe47014f16c55ddd3add5b68b951e10fcea7da686,1,0,22,22,17,0,3,1,0,0,0,0,0,4,0,0,0,1,0,,No,No,No,No,No,No,No,No,No,No,No
0x0807a2d6a675e7196a3d9b1910700cae9795b72a,2,0,111,111,69,33,49,2,0,0,0,2,0,5,0,0,0,13,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x5f5d7147adb6ed31a2ca03ce3defb070a3be0ebb,1,0,34,34,25,0,17,1,0,0,3,1,0,2,0,0,0,2,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xd934ee44c22fe8cf0f43bf66620b3001d9172904,1,0,33,33,26,0,9,1,0,0,0,1,0,4,0,0,0,2,0,,Yes,No,Yes,No,No,No,No,No,No,No,No
0xb4e348c10b8f1dcf2b5bc524f1f2ab912fde4048,1,0,152,152,105,15,49,1,0,0,0,0,0,2,0,0,0,5,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x44691b39d1a75dc4e0a0346cbb15e310e6ed1e86,2,0,60,60,36,11,21,2,0,0,0,0,0,6,0,0,0,3,3,,No,No,No,Yes,No,No,Yes,No,No,No,No
0xdcf14a9cba1d5ee6d4671c20c559373f331910ea,1,0,146,146,117,9,67,1,0,0,4,2,0,4,1,0,0,14,13,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0x90aa6fb2c2ab2c9e3fd5634c054d636c708cd5f3,3,0,120,111,84,32,38,3,0,0,0,1,0,12,0,0,0,9,9,,Yes,No,No,No,No,No,No,No,No,No,No
0x362bb67f7fdbdd0dbba4bce16da6a284cf484ed6,3,0,139,139,90,34,60,3,0,0,0,2,0,13,0,0,0,13,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x3efd578b271d034a69499e4a2d933c631d44b9ad,3,0,105,105,58,27,19,3,0,0,0,0,0,7,0,0,0,6,4,,No,No,No,No,No,No,No,No,No,No,No
0xee2157c15a43be80faac64801ed89c8d8e2c4d3a,1,0,107,107,75,6,63,1,0,0,9,0,0,10,0,0,0,5,2,,No,No,No,No,No,No,Yes,No,No,No,No
0x7cf51743ed1bce645e1bb4a3619b73cc782c8de6,1,0,15,15,15,0,7,0,1,0,2,0,0,2,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0xa8fa462e08282f48756a672a03d0e10e154ed2af,1,0,122,122,103,0,50,1,0,0,0,0,0,15,0,0,0,3,0,,No,No,No,Yes,No,No,Yes,No,No,No,No
0x2a650356bd894370cc1d6aba71b36c0ad6b3dc18,1,0,455,442,328,19,178,1,0,0,11,1,11,22,0,0,0,24,5,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0xab7c49a95ba2f8c1ad95d18c8541cba650870618,1,0,140,140,72,39,49,1,0,0,0,1,0,4,4,0,0,9,8,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xf690f0ee16bb8f67c4f8a8d9e116f77cf3acf166,1,0,8,8,7,0,2,1,0,0,0,0,0,1,0,0,0,1,0,,No,No,No,No,No,No,No,No,No,No,No
0x8c0a599d3ff4d3344cb93ae49247c11b645c5e44,1,0,131,131,109,0,65,1,0,0,0,0,0,17,0,0,0,3,0,,No,No,No,Yes,No,No,Yes,No,No,No,No
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,1,0,281,221,187,2,162,1,0,0,13,1,8,13,3,0,0,6,4,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No
0xd3f3eb105daa3712eda7709f59ac0ec0d2d202b5,1,0,227,215,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x15dbdb25f870f21eaf9105e68e249e0426dae916,1,0,503,427,303,75,178,1,0,0,15,2,0,14,8,0,0,17,2,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,1,0,69,69,44,11,18,1,0,0,0,1,0,4,0,0,0,3,3,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xb10ba7b334d3bd1b2110ba00bca39696b6df406d,4,0,388,379,229,98,163,4,0,0,12,1,12,26,2,0,0,11,5,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
0xaffd8d333badb2a6dfab4854c5a30ac2dbb9db9f,1,0,227,215,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x45d147c800d401350b24fc1cd5fbc98040b177c8,3,0,141,141,112,4,53,3,0,0,0,2,0,5,0,0,0,16,14,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0xb20bb2780a6ae9e399e805ce4f60321245f7a0db,2,0,61,61,44,11,19,2,0,0,0,0,0,6,0,0,0,7,7,,No,No,No,No,No,No,No,No,No,No,No
0x33720000b3b3bd4b631b76f85049306be257ddc7,1,0,128,128,94,1,72,1,0,0,6,2,0,4,2,0,0,13,9,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,11,0,178,151,122,23,71,11,0,0,0,0,0,24,0,0,0,8,0,,No,No,No,Yes,No,No,No,No,Yes,No,No
0x936f78b9852d12f5cb93177c1f84fb8513d06263,4,0,158,137,104,6,63,4,0,0,0,0,0,16,0,0,0,11,8,,No,No,No,Yes,No,No,No,No,Yes,No,No
0x77eec19c8ba79b1c7c79311ec810cbf88d924751,4,0,194,179,134,57,65,4,0,0,0,1,0,18,0,0,0,14,14,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xd70994d7020df8052a1124561ff548f3b88744d8,2,0,123,123,84,16,33,2,0,0,0,1,0,6,0,0,0,4,2,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xda7fa6e0b04c76683f54c973931862d7fe474a85,2,0,75,61,33,23,60,2,0,0,0,0,0,7,1,0,0,2,2,,No,Yes,No,No,No,No,Yes,No,No,No,No
0x5ae14c0101e0a40c709340592f1f1c052ef4ab92,1,0,227,215,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x4ed985e2da341e276bbf7782f2e1e30689d33c89,1,0,113,113,80,12,40,1,0,0,0,0,0,6,0,0,0,4,3,,No,No,No,No,No,No,No,No,No,No,No
0x5385d02f3a254ca716c144c7c333553a2e6ec931,5,0,184,133,96,20,36,5,0,0,0,0,0,9,0,0,0,3,0,,No,No,No,Yes,No,No,No,No,No,No,No
0x70a8629c1b9a50133c5325502232bd54447beee7,2,0,95,92,42,43,17,2,0,0,0,0,0,6,0,0,0,6,4,,No,No,No,No,No,No,No,No,No,No,No
0x9473bc8bb575ffc15cb2179cd9398bdf5730bf55,1,0,349,311,205,130,72,1,0,0,0,2,0,9,0,0,0,6,5,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0x5965c4ee0e04ab0aa480527b7c91be8deca47f9c,1,0,228,216,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x33098a5e8f5e932831434748cdad425487b9aaf1,5,0,140,132,61,52,58,4,1,0,0,2,0,7,0,0,0,10,10,,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
0xe8200511f3c276fa7300719f9b45301bc471f4fb,2,0,89,85,73,0,32,2,0,0,0,0,0,8,0,0,0,7,5,,No,No,No,Yes,No,No,No,No,No,No,No
0x60a76ea79ebc7264f2897ee7fe4f33f31ef25a74,1,0,19,19,15,0,5,1,0,0,0,0,0,1,0,0,0,3,1,,No,No,No,No,No,No,No,No,No,No,No
0x69e5da6904f73dfa845648e1991ad1dcc780f874,4,0,125,80,30,51,21,4,0,0,0,2,0,10,0,0,0,3,3,,Yes,No,No,No,No,No,No,No,No,No,No
0x3ac26f27595effeb5e426bd093081ec30ebdd545,2,0,70,67,52,0,23,2,0,0,1,1,0,3,1,0,0,3,1,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x6ba4313d6b01efd3c81224a1d34794b2a0b0cf76,1,0,59,56,24,25,13,1,0,0,0,0,0,4,0,0,0,3,1,,No,No,Yes,No,No,No,Yes,No,No,No,No
0x6846b938f9be9f1eeeb9bfd853636c805f8f54d3,2,0,242,242,161,17,85,2,0,0,3,2,0,14,0,0,0,13,9,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x9828953884b857380a80d177c38d95aeb42cd34c,2,0,77,77,61,0,29,2,0,0,0,0,0,5,0,0,0,10,0,,No,No,No,Yes,No,No,No,No,No,No,No
0x493f121b6f769fc8dbfb47ab834b13561d835009,1,0,185,185,59,103,29,1,0,0,0,1,0,7,0,0,0,5,5,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0x1e797ce986c3cff4472f7d38d5c4aba55dfefe40,1,0,187,175,146,32,81,1,0,0,0,7,0,3,0,0,0,13,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x763465c2114e33886e1574e5994df1bb8cd5f160,1,0,28,25,19,0,4,1,0,0,0,0,0,2,0,0,0,2,0,,No,No,No,No,No,No,No,No,No,No,No
0x4fd997ed7c10dbd04e95d3730cd77d79513076f2,1,0,226,214,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xcf31dd376d15db527375b8c2b24e0ef45bcf71b6,1,0,20,20,15,6,7,1,0,0,0,1,0,0,0,0,0,1,1,,Yes,No,No,No,No,No,No,No,No,No,No
0x74aca0f1a40f7e0f3845dadf52c65060de7749af,4,0,139,109,70,34,26,4,0,0,0,0,0,8,0,0,0,7,4,,No,No,No,Yes,No,No,No,No,No,No,No
0x940e7d8fb34921c3c5bbb8b9792b1a0e4688fe9b,2,0,98,98,55,13,35,2,0,0,4,1,4,4,0,0,0,8,4,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,1,0,125,120,97,7,42,1,0,0,0,1,0,1,0,0,0,5,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x83b6ad8e37ab7a4f71da533a35271484270ec6c2,5,0,183,174,129,57,65,5,0,0,0,1,0,18,0,0,0,13,12,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0x4993cb95c7443bdc06155c5f5688be9d8f6999a5,2,0,84,82,68,0,25,2,0,0,0,0,0,7,0,0,0,8,6,,No,No,No,No,No,No,No,No,No,No,No
0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,1,0,203,194,108,49,61,1,0,0,3,1,3,5,3,0,0,15,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x1b27996479b11abc8a8d0447deb3fb0183788484,1,0,203,194,108,49,61,1,0,0,3,1,3,5,3,0,0,15,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xa43ebd8939d8328f5858119a3fb65f65c864c6dd,1,0,35,34,25,7,40,1,0,0,0,0,0,2,0,0,0,0,0,,No,Yes,No,Yes,No,No,No,No,No,No,No
0x8b807cf49ca593c4678811211df2992e64f2f3ef,1,0,202,193,108,49,61,1,0,0,3,1,3,5,3,0,0,15,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xdea48d521832780f5e437f7f744c94d2cda85af9,1,0,17,17,16,0,6,1,0,0,0,0,0,2,0,0,0,2,2,,No,No,No,No,No,No,No,No,No,No,No
0x51dce38369b7d57d367fa1b738723a626f15b8ff,1,0,228,216,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x76e580f75bf01bffbf4f44167d5822346de4f176,2,0,87,79,60,7,28,2,0,0,0,1,0,7,0,0,0,7,7,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x0f170120733474c6ec7daf6ae6aeeeb8b645e92c,2,0,211,211,139,16,69,2,0,0,2,1,0,13,0,0,0,12,8,,Yes,No,No,No,No,No,No,No,No,No,No
0x84d50ebf4737331fb41ff9e3c6c324262c5b661c,2,0,129,126,94,11,45,2,0,0,0,0,0,9,0,0,0,6,4,,No,No,No,No,No,No,Yes,Yes,No,No,No
0xe7c8635bc387994069f7b7f25b89534c67727a01,2,0,51,41,36,3,40,2,0,0,1,5,1,3,0,0,0,3,3,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x949bed886c739f1a3273629b3320db0c5024c719,4,0,140,130,20,53,28,4,0,0,0,0,0,9,0,0,0,7,5,,No,No,No,No,No,No,Yes,No,No,No,No
0x498e950892260b0e9dfd5895d7501f340e92d263,1,0,118,118,70,22,47,1,0,0,0,1,0,4,4,0,0,9,8,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x9c794584b2f482653937b529647924606446e7f4,1,0,55,55,50,6,25,1,0,0,0,1,0,6,0,0,0,7,7,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x160564d346f6e9fb3d93c034f207ecf9791b7739,2,0,73,64,47,5,26,2,0,0,2,0,0,10,0,0,0,7,6,,No,No,Yes,No,No,No,No,No,No,No,No
0x693399aae96a88b966b05394774cfb7b880355b4,1,0,97,97,86,9,37,1,0,0,0,1,0,8,0,0,0,8,7,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x2c875e5ea4706b1978a41b59edf2d3af31d60e70,3,0,152,118,66,39,23,3,0,0,0,0,0,8,0,0,0,7,4,,No,No,No,Yes,No,No,No,No,No,No,No
0x1c3c643f49be262c3040e917e7d2299b9bc081a1,1,0,58,58,25,25,5,1,0,0,0,0,0,0,0,0,0,4,0,,No,No,No,No,No,No,No,No,No,No,No
0x1dea4ca1ca2a2c946b233a227883ef6846cf17d5,2,0,96,87,66,14,17,2,0,0,0,0,0,8,0,0,0,7,7,,No,No,No,No,No,No,No,No,No,No,No
0xb78e82956b6037e13b83c287aa9047f748c0f55a,1,0,202,193,108,49,61,1,0,0,3,1,3,5,3,0,0,15,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xc3ef562cc403c8f9edf7c3826655fbf50f4ddde8,6,0,96,96,68,1,24,6,0,0,0,0,0,9,0,0,0,7,4,,No,No,No,No,No,No,No,No,No,No,No
0x5d951e9377ec3383808d842fb37182c1363ca34b,2,0,57,53,34,5,21,2,0,0,0,0,0,4,0,0,0,3,0,,No,No,Yes,No,No,No,No,No,No,No,No
0x6adf9e666e3e85876b1ba25edb31799faad8417b,1,0,50,50,21,21,15,1,0,0,0,2,0,2,0,0,0,2,0,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0xc1f9de7df87eb7a933192e4e9178b0b07472f65c,1,0,223,223,143,71,111,1,0,0,0,3,0,8,0,0,0,22,21,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xe3282094d332d26f7dfca853899ec1736f0295ce,7,0,213,180,123,34,94,7,0,0,0,3,0,13,0,0,0,9,8,,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
0x7be89db09b0c1023fd0407b24b98810ae97f61c1,2,0,108,108,73,27,48,2,0,0,0,2,0,5,0,0,0,12,10,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x82df5022fbcfdd877830371d7713f0181a554c9c,3,0,61,61,47,0,49,3,0,0,0,2,0,5,0,0,0,3,0,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0x3398080b81a1cff1429af347ce2b17fc28de3937,7,0,238,197,135,34,104,7,0,0,0,3,0,13,0,0,0,9,7,,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
0x4a56ebd89b2750bf42ddec1cd3845938983be0d2,4,0,85,72,57,3,30,4,0,0,0,0,0,8,0,0,0,3,2,,No,No,No,Yes,No,No,No,No,No,No,No
0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,1,0,56,56,41,6,23,1,0,0,2,1,0,2,1,0,0,5,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xc6b13d41866cba306fe9ddfafd580ac8d92bfb75,1,0,8,8,7,1,6,1,0,0,0,1,0,0,0,0,0,0,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x30e1a463ecf25dbba2f83cb3e4b10045f888e55b,2,0,115,89,65,8,14,2,0,0,0,0,0,5,0,0,0,2,1,,No,No,No,No,No,No,No,No,No,No,No
0x8e66ffe69b3f8d78f2a696e40c02f7454c0a01d9,2,0,242,242,161,17,85,2,0,0,3,2,0,14,0,0,0,13,9,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xff3216f86a723f2c23b03b5cd1f622eb1a204159,1,0,122,107,91,5,53,1,0,0,7,2,0,8,0,0,0,8,3,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x0b0e47119bf5495dfcd9264916a9fe3481cd24c7,1,0,15,15,14,0,6,1,0,0,0,0,0,1,0,0,0,3,3,,No,No,No,No,No,No,No,No,No,No,No
0x2e1cff135ca6bbc0012a01fa246a0a39aeb10d2d,1,0,140,140,72,39,49,1,0,0,0,1,0,4,4,0,0,9,8,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xc6c4c7826d44abf22c711e8e86bdc3f5242d2182,1,0,41,36,27,8,9,1,0,0,0,0,0,2,0,0,0,6,6,,No,No,No,No,No,No,No,No,No,No,No
0x4f529990b7f3d1fb4152736155e431c96fd86294,1,0,123,123,73,22,47,1,0,0,0,1,0,4,4,0,0,9,8,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x06194c50a5a85bb1fee0e73877eefdef64466514,1,0,135,135,115,0,59,1,0,0,0,0,0,20,0,0,0,3,0,,No,No,No,Yes,No,No,Yes,No,No,No,No
0x2abf00b596f4cb10384654dcd76253b3140d35ff,4,0,389,380,229,98,163,4,0,0,12,1,12,26,2,0,0,11,10,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
0x3aaa5474a09804b08120e6e33bfc433367ab238c,1,0,227,215,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x1654d540616bfb3f13973ed6019e43005be43219,1,0,97,97,86,9,37,1,0,0,0,1,0,8,0,0,0,8,7,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xbe87e87965b96d8174eae4e3724a6d7417c488b0,2,0,114,112,79,37,43,2,0,0,0,0,0,9,0,0,0,13,12,,No,No,No,No,No,No,No,No,No,No,No
0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea,2,0,221,201,100,71,55,2,0,0,0,4,0,5,0,0,0,10,10,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x8af7243f9a173ad8ca6c8a3a053f0182c5352d15,1,0,45,42,32,14,13,1,0,0,0,0,0,3,0,0,0,6,4,,No,No,No,No,No,No,No,No,No,No,No
0x799f987acb75a571dd95f7fd152d30f50484b837,1,0,26,26,19,0,4,1,0,0,0,0,0,2,0,0,0,2,0,,No,No,No,No,No,No,No,No,No,No,No
0x5088c2985210925d15ea470a160fc08b352818d0,1,0,140,140,72,39,49,1,0,0,0,1,0,4,4,0,0,9,8,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x60b1bfaa999ab532df3ab804b43ed549a8636501,1,0,228,216,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xf884e0096f826f82d9999dc11becb836dbb7c1f7,1,0,206,206,157,10,107,1,0,0,0,0,0,15,0,0,0,18,0,,No,No,Yes,No,No,No,Yes,No,No,No,No
